Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
W89oBFg5EF0,🤰🏻❤️MASAJE PERINEAL ►► CÓMO se HACE,2018-04-13T14:00:03Z,1773516,14663,1901,7.71
r33tYq9pUP8,Обзор бюстгальтера Curvy Kate Can Can,2018-02-15T10:52:13Z,35747571,44800,8090,5.54
V35uFe9Y1RE,limpieza de hígado y vesícula biliar. Fisioterapia Logroño,2018-08-01T21:45:11Z,2726745,64676,2221,29.12
EgAqO_SIUXA,🐥 GATEAU TOUT CHOCOLAT pour PAQUES 🐥,2018-03-31T13:00:00Z,382173,11439,176,64.99
3tDSqV78Gm4,🥇💪🏼CURSO ONLINE de SUELO PÉLVICO: Método AbP || En Suelo Firme,2018-02-02T13:13:17Z,34883,1139,36,31.64
npGCKDUa0pY,☄️🚽POR QUÉ NO debes AGUANTAR las GANAS de DEFECAR || En Suelo Firme,2018-05-30T13:00:11Z,75573,2264,53,42.72
6nlXFMxZcp0,❅ Recette des Sapins de Noël au Chocolat ❅,2018-11-28T16:22:06Z,106970,4088,47,86.98
KH1AvuFWJ00,Recette de Macaron Cœur Framboise Vanille,2018-07-13T18:34:37Z,144441,5213,82,63.57
mn2PmnMss_k,🌴 Les PALMIERS MAISON ! La RECETTE FACILE et RAPIDE🌴,2018-04-07T13:00:03Z,151431,3375,101,33.42
p6loCKiOACI,Recette de la Charlotte Royale au Chocolat,2018-03-23T17:04:58Z,221413,5631,121,46.54
QOhnDSR1JpQ,Comment maçonner les pignons ? Leroy Merlin,2018-09-06T16:21:34Z,64969,200,17,11.76
upWvzjJHl60,¿Qué es la Diabetes Mellitus?,2018-01-03T23:24:33Z,31546,79,4,19.75
m_GlskT8i0M,LES ALIMENTS A PRIVILEGIER : Conseils de Sage Femme,2018-01-31T14:41:27Z,18252,291,4,72.75
jpbMgl-pkFA,[오십견 운동] 집에서 할 수 있는 간단하고 쉬운 5가지 어깨 운동법,2018-05-31T01:19:48Z,254086,3759,88,42.72
SPX0_xgySn0,Ashley Graham on How to Survive Your First Met Gala | Met Gala 2018 With Liza Koshy | Vogue,2018-05-08T05:05:27Z,528774,11494,78,147.36
bsHIqE7olVI,Za lepší jídlo,2018-02-28T19:06:13Z,682635,23,6,3.83
YWW8RvweRiA,선물 그 이상의 가치를 선사합니다 - 록시땅 2018 홀리데이 컬렉션,2018-10-23T11:00:10Z,727000,14,0,
GGOoVpE0dH0,Come rimuovere le macchie di sudore,2018-11-29T17:02:25Z,1242321,18,7,2.57
Q_FxxMZhFCQ,Inside Depop's community | Depop Weekly #3 | a bi-weekly panel show hosted by our team,2018-12-17T17:35:00Z,35972,19,3,6.33
Yqu7buf3rQ0,"Ramadan li pa selma garde Roza li osi ene moi partaz ek tolerans""",2018-05-14T03:38:30Z,503008,55,19,2.89
z_9yDRZl1Po,Co kupić mężowi na prezent? Zobacz propozycje od ePrezenty.pl,2018-08-29T12:48:20Z,75094,17,2,8.5
NIJU3bRMp2k,[Cosmochain] 탐정 코스미 (Detective COSMEE),2018-09-04T10:28:37Z,121705,69,6,11.5
QKGYKxXHGr0,How to Make The Cointreau Fizz Cocktail,2018-10-22T14:02:30Z,6038886,14,1,14
rnpzDnrsUlo,Discover the collection | The Ritual of Holi,2018-08-21T12:51:16Z,2600535,70,4,17.5
ugOUEn-wORw,Improved Gypframe,2018-02-08T16:27:39Z,59284,2,0,
80TkuwELYv0,Inspiring Women of Style Theory: Cheryl Wee the Style Chameleon,2018-09-21T10:24:15Z,359783,15,9,1.67
LH3Fjc7zwJA,[에이프릴스킨 X 박지훈] 우유샴푸CF,2018-04-26T20:30:00Z,62822,4526,25,181.04
Y1zOwc7Uiec,Moments of Passion | Jewelmer Bride 2018,2018-07-12T08:07:21Z,149996,5,0,
TciJBRwld6c,Naturaleza Artesanal,2018-09-15T00:18:08Z,3176550,9,5,1.8
u_Mb9C4eXK0,Gold Glitter + Colorful Cut Crease | Melissa Samways,2018-10-19T11:06:08Z,14947,698,30,23.27
OoHi3AkM5UM,Offer Grab or Gone extended until 31st march 2018 .,2018-03-12T12:36:44Z,356483,6,3,2
6bpUMZK8oec,Double Nature,2018-06-01T11:00:10Z,797964,38,3,12.67
ZZ0vLHtw610,Makkox per Coop - Fallo Protetto,2018-11-30T16:59:31Z,613027,13,4,3.25
kGQear_ty-o,This is Jazzercise - Cardio Dance with Friends,2018-05-31T23:39:32Z,113775,70,2,35
FOUuPmrF9ME,London Fashion Week AW18 Street Style | Accessorize,2018-02-17T15:41:21Z,110729,20,2,10
6IXj2Nq-GP0,FULL FACE OF HOLIDAY COLLECTIONS... YIKES LOL | Thomas Halbert,2018-11-19T20:57:41Z,206249,,,
DOJNrB56CHY,[The-K의 2018년 두번째 캠페인] 토닥토닥 힘내요 그대 시즌2 최성애편,2018-04-30T02:06:46Z,78192,419,1,419
VWs-5pOn8ts,【おしゃれ物置】多機能な大空間ユーロ物置FRONT ENTRY 3029F2,2018-05-11T05:10:38Z,512052,8,2,4
nvce7NlUXSc,"Huxley Brand Film 07# GLOW AND BRIGHTNESS (57”, 2018)",2018-04-19T08:38:33Z,168513,40,4,10
MY4ZNznFCsg,Potrzebujesz zmiany koloru? - Wypróbuj Cameleo Omega+,2018-03-09T15:15:31Z,515859,3,0,
OIz41PrvJt8,48 Hours Weekend Vibes with Timberland,2018-08-20T09:27:04Z,141302,1,0,
F4GI7shfEfk,"Fantastic Furniture - Same Fantastic, New Brand Look!",2018-03-25T06:15:11Z,362675,7,0,
nYMpeC-uFOE,THE INCREDIBLES 2 COOKIES - Cupcakes Po,2018-06-06T02:18:06Z,129977,590,122,4.84
e_zvwlczmpE,Sage Espresso přístroj s mlýnkem na kávu THE BARISTA EXPRESS™,2018-10-08T10:45:19Z,1297191,13,3,4.33
AjY397aJq70,Navidad Flexi,2018-11-28T23:08:30Z,168503,12,0,
ehewsEGGYiY,Entretien d'une montre Rolex Submariner 5513 (version courte),2018-12-20T14:25:48Z,77111,1,1,1
JPeouA6qoaY,The Totally Redesigned Lowe’s Power Tool for Android,2018-01-17T01:11:25Z,132506,88,24,3.67
odI1dhFqmaY,모바일캐시비 티저 영상,2018-09-27T06:10:06Z,144517,13,2,6.5
yxZio3vgkMw,Custom Dance Shoes - MANUEL REINA,2018-10-01T05:17:15Z,74610,11,2,5.5
Hgkqpadivio,Opremanje apartmana u Emmezeti,2018-03-15T13:12:10Z,966803,2,0,
RMzvugdh67M,Einesäiti vs. rasvakeitin | Ruokareviirin laajentajat,2018-10-03T12:50:38Z,169416,2,0,
OgsQ2ON55DM,HOW TO : sodastream SPIRIT,2018-04-23T14:07:55Z,469551,3,0,
PB7XhNkzOSg,Come ottenere i capelli che attirano tutti gli sguardi?,2018-04-10T10:51:52Z,78849,2,0,
87l8DbYDULc,Join My Abhushan to Sell Jewellery to Millions of Buyers Worldwide,2018-10-03T09:52:31Z,234857,5,0,
N6FwNn9lLD8,How to use Design & Print Video,2018-01-25T02:13:24Z,49668,3,0,
3Bwt5Zv1H8E,Tefal - Body Partner - Envie d'éliminer vos rondeurs ?,2018-11-19T15:59:34Z,431997,2,0,
Wh_zTGl1QKk,Otoño - Invierno 2018,2018-07-12T15:00:20Z,3265490,14,6,2.33
h3nnmdrjnBg,Here I Am Trailer - Depop Episode 2: HookedBHM,2018-01-04T16:18:18Z,144561,5,1,5
o9QYvUhbW9o,Coop Ambiente - Pesce,2018-09-25T14:00:40Z,707385,8,3,2.67
PfT8i1FSBMU,鶴の小箱の作り方｜お菓子や小物入れに！,2018-03-15T03:21:46Z,110257,,,
